Year,Month,Day,Latitude,Longitude,Acres,Gcause,Scause,Agency,Flag,Ranked Acres,Ranked km2,pos,log(acres)
1985,7,1,34.5,-119.28,119361,7,19,USFS,1,119361,483.053967,1,5.076862449
2000,8,24,43.73,-103.88,83508,7,19,USFS,0,83508,337.956876,2,4.921728083
1994,8,14,35.44,-120.75,48200,7,19,USFS,0,48200,195.0654,3,4.683047038
1994,8,16,39.54,-120.31,46800,7,4,USFS,0,46800,189.3996,4,4.670245853
1985,10,14,34.43,-119.08,45710,7,19,USFS,1,45710,184.98837,5,4.660011221
1994,8,19,43.69,-115.93,30655,7,0,USFS,0,30655,124.060785,6,4.48650132
2000,7,23,46.67,-111.69,30000,7,30,USFS,0,30000,121.41,7,4.477121255
1980,11,16,33.64,-117.34,27000,7,19,USFS,1,27000,109.269,8,4.431363764
1998,5,25,30.16,-84.51,24602,7,30,USFS,0,24602,99.564294,9,4.390970414
1994,5,21,34.88,-77.11,24600,7,0,USFS,0,24600,99.5562,10,4.390935107
1970,9,25,34.49,-118.35,23790,7,19,USFS,1,23790,96.27813,11,4.376394442
1996,8,26,34.52,-118.64,22000,7,19,USFS,0,22000,89.034,12,4.342422681
1998,6,2,30.34,-82.5,20100,7,19,USFS,0,20100,81.3447,13,4.303196057
1974,8,27,33.77,-116.88,17683,7,19,USFS,1,17683,71.563101,14,4.247555947
1984,6,28,38.74,-119.79,17000,7,18,USFS,1,17000,68.799,15,4.230448921
1988,8,20,44.54,-116.32,16325.8,7,0,USFS,0,16325.8,66.0705126,16,4.212874472
1989,7,29,33.45,-116.95,15643,7,0,USFS,0,15643,63.307221,17,4.194320045
1971,10,6,34.46,-119.59,14538,7,19,USFS,1,14538,58.835286,18,4.162504665
1992,9,2,43.65,-115.96,12860,7,0,USFS,0,12860,52.04442,19,4.109240969
1989,7,28,37.13,-119.5,11680,7,0,USFS,0,11680,47.26896,20,4.067442843
1988,9,28,34.2,-117.45,10665,7,0,USFS,0,10665,43.161255,21,4.02796086
1986,6,17,31.48,-111.46,10390,7,0,USFS,0,10390,42.04833,22,4.016615548
2000,7,29,33.44,-117.02,10380.2,7,30,USFS,0,10380.2,42.0086694,23,4.016205721
1973,8,17,38.69,-120.38,9990,7,19,USFS,1,9990,40.42953,24,3.999565488
1980,7,17,34.49,-118.11,9886,7,30,USFS,1,9886,40.008642,25,3.995020606
1973,10,27,32.72,-116.48,8478,7,19,USFS,1,8478,34.310466,26,3.928293412
1973,6,19,33.95,-116.83,7920,7,19,USFS,1,7920,32.05224,27,3.898725182
1987,9,9,33.75,-117.53,7700,7,0,USFS,0,7700,31.1619,28,3.886490725
1992,5,25,30.06,-85.01,7400,7,0,USFS,0,7400,29.9478,29,3.86923172
1987,11,1,36.99,-83.24,7350,7,0,USFS,0,7350,29.74545,30,3.866287339
1975,8,9,34.36,-118.23,7305,7,19,USFS,1,7305,29.563335,31,3.86362022
1999,8,29,34.23,-117.85,7200,7,19,USFS,0,7200,29.1384,32,3.857332496
1992,8,2,41.75,-117.6,7180,7,0,USFS,0,7180,29.05746,33,3.856124444
1998,9,2,47.45,-114.25,7038,7,19,USFS,0,7038,28.482786,34,3.847449262
1980,11,24,33.65,-117.37,6800,7,19,USFS,1,6800,27.5196,35,3.832508913
1996,8,5,39.48,-119.98,6700,7,19,USFS,0,6700,27.1149,36,3.826074803
2000,5,3,30.1,-84.73,6679,7,18,USFS,0,6679,27.029913,37,3.824711443
1987,6,21,39.4,-114.51,6005,7,0,USFS,0,6005,24.302235,38,3.778513012
1971,9,1,41.53,-117.72,6000,7,27,USFS,1,6000,24.282,39,3.77815125
1987,10,30,37.38,-83.59,5864,7,0,USFS,0,5864,23.731608,40,3.768193962
1985,7,15,45.44,-115.44,5649,7,19,USFS,1,5649,22.861503,41,3.751971575
1996,8,17,36.87,-119.31,5607,7,19,USFS,0,5607,22.691529,42,3.748730556
1979,9,8,40.17,-115.69,5500,7,18,USFS,1,5500,22.2585,43,3.740362689
1979,9,1,35.99,-121.36,5371,7,18,USFS,1,5371,21.736437,44,3.730055152
1998,6,27,36.02,-106.3,5185,7,18,USFS,1,5185,20.983695,45,3.714748761
1976,7,8,34.34,-117.06,5143,7,19,USFS,1,5143,20.813721,46,3.711216524
1988,7,17,35.27,-120.43,5053,7,0,USFS,0,5053,20.449491,47,3.703549298
1992,8,20,40.6,-123.09,5050,7,0,USFS,0,5050,20.43735,48,3.703291378
1979,9,11,34.19,-118.09,5043,7,19,USFS,1,5043,20.409021,49,3.702688968
1977,7,28,33.84,-117.62,5000,7,19,USFS,1,5000,20.235,50,3.698970004
1988,9,3,41.95,-117.58,5000,7,0,USFS,0,5000,20.235,51,3.698970004
1981,3,19,30.5,-88.8,4770,7,19,USFS,0,4770,19.30419,52,3.678518379
1995,7,27,33.56,-116.91,4500,7,0,USFS,0,4500,18.2115,53,3.653212514
1999,8,14,32.88,-116.41,4416,7,19,USFS,0,4416,17.871552,54,3.645029065
1990,6,27,34.49,-119.8,4267.1,7,0,USFS,0,4267.1,17.2689537,55,3.630132821
1989,7,3,41.86,-117.6,4160,7,0,USFS,0,4160,16.83552,56,3.619093331
1987,5,8,46.17,-86.42,4010,7,0,USFS,0,4010,16.22847,57,3.603144373
1996,2,19,31.1,-94.35,3936,7,30,USFS,0,3936,15.928992,58,3.59505509
1979,9,15,33.88,-117.58,3730,7,19,USFS,1,3730,15.09531,59,3.571708832
1980,11,25,34.17,-117.5,3696,7,19,USFS,1,3696,14.957712,60,3.567731963
1988,7,26,44.1,-103.33,3695,7,0,USFS,0,3695,14.953665,61,3.567614443
1995,9,25,33.92,-116.79,3500,7,0,USFS,0,3500,14.1645,62,3.544068044
1981,8,4,40.08,-111.84,3500,7,19,USFS,1,3500,14.1645,63,3.544068044
1972,8,21,33.85,-116.81,3440,7,19,USFS,1,3440,13.92168,64,3.536558443
1991,8,22,41.88,-116.01,3437,7,0,USFS,0,3437,13.909539,65,3.536179532
1987,10,30,36.63,-84.35,3400,7,0,USFS,0,3400,13.7598,66,3.531478917
1992,5,16,34.83,-77.08,3400,7,0,USFS,0,3400,13.7598,67,3.531478917
1999,6,3,35.28,-107.66,3382,7,30,USFS,0,3382,13.686954,68,3.529173603
1971,4,8,34.72,-94.54,3340,7,18,USFS,1,3340,13.51698,69,3.523746467
1995,4,10,33.86,-85.42,3321,7,0,USFS,0,3321,13.440087,70,3.521268876
1999,8,28,33.68,-116.75,3300,7,19,USFS,0,3300,13.3551,71,3.51851394
1974,6,22,36.07,-121.32,3231,7,19,USFS,1,3231,13.075857,72,3.509336958
1979,6,26,33.81,-116.95,3200,7,19,USFS,1,3200,12.9504,73,3.505149978
1979,9,19,34.14,-117.72,3200,7,19,USFS,1,3200,12.9504,74,3.505149978
1999,11,6,41.97,-114.06,3189,7,19,USFS,0,3189,12.905883,75,3.503654519
1988,9,7,40.1,-105.34,3165,7,0,USFS,0,3165,12.808755,76,3.500373714
1997,9,14,31.5,-93,3134,7,30,USFS,0,3134,12.683298,77,3.496098992
1998,12,4,33.4,-85.85,3108,7,30,USFS,0,3108,12.578076,78,3.49248101
2000,8,7,42.49,-112.33,3070,7,19,USFS,0,3070,12.42429,79,3.487138375
1980,11,11,37.3,-83.41,3057,7,19,USFS,0,3057,12.371679,80,3.485295439
1981,8,28,42.38,-121.83,2950,7,30,USFS,1,2950,11.93865,81,3.469822016
1995,10,24,42.06,-114.14,2950,7,0,USFS,0,2950,11.93865,82,3.469822016
1996,8,17,36.04,-118.67,2850,7,30,USFS,0,2850,11.53395,83,3.45484486
1973,8,17,45.82,-115.86,2800,7,19,USFS,1,2800,11.3316,84,3.447158031
1995,3,19,35.61,-94.5,2770,7,0,USFS,0,2770,11.21019,85,3.442479769
1983,4,20,34.9,-77.16,2650,7,18,USFS,0,2650,10.72455,86,3.423245874
1977,8,8,33.9,-116.76,2625,7,19,USFS,1,2625,10.623375,87,3.419129308
1983,7,23,33.91,-116.87,2597,7,19,USFS,1,2597,10.510059,88,3.41447195
1978,9,23,32.98,-116.83,2594,7,19,USFS,1,2594,10.497918,89,3.413969972
1980,11,13,34.91,-84.53,2570,7,30,USFS,0,2570,10.40079,90,3.409933123
1979,9,16,34.1,-117.11,2502,7,19,USFS,1,2502,10.125594,91,3.398287305
1999,4,15,30.58,-88.81,2500,7,18,USFS,0,2500,10.1175,92,3.397940009
1972,5,14,32.98,-116.83,2483,7,19,USFS,1,2483,10.048701,93,3.39497672
1995,10,13,33.33,-116.71,2388,7,0,USFS,0,2388,9.664236,94,3.378034322
2000,4,26,30.15,-84.93,2367,7,18,USFS,0,2367,9.579249,95,3.374198258
1971,4,8,33.82,-94.64,2335,7,19,USFS,1,2335,9.449745,96,3.368286885
1988,8,25,46.86,-114.16,2230,7,0,USFS,0,2230,9.02481,97,3.348304863
1980,4,23,36.18,-82.53,2212,7,18,USFS,0,2212,8.951964,98,3.344785123
1995,6,10,33.4,-111.44,2200,7,0,USFS,0,2200,8.9034,99,3.342422681
1988,3,26,36.9,-91.28,2186,7,0,USFS,0,2186,8.846742,100,3.339650158
1988,8,9,45.4,-116.21,2170,7,0,USFS,0,2170,8.78199,101,3.336459734
1971,10,5,34.45,-118.93,2120,7,19,USFS,1,2120,8.57964,102,3.326335861
1999,6,25,40.02,-111.82,2059,7,19,USFS,0,2059,8.332773,103,3.313656347
1999,11,13,34.68,-83.97,2048,7,30,USFS,0,2048,8.288256,104,3.311329952
1999,11,13,34.71,-83.93,2040,7,30,USFS,0,2040,8.25588,105,3.309630167
1971,8,27,34.55,-119.75,2010,7,19,USFS,1,2010,8.13447,106,3.303196057
1987,11,2,37.61,-83.85,2003.2,7,0,USFS,0,2003.2,8.1069504,107,3.301724312
1991,10,25,36.99,-83.75,2000,7,0,USFS,0,2000,8.094,108,3.301029996
2000,10,30,37.2,-83.41,2000,7,19,USFS,0,2000,8.094,109,3.301029996
1999,4,20,30.33,-82.35,2000,7,18,USFS,0,2000,8.094,110,3.301029996
1999,9,28,42.1,-124.11,1980,7,30,USFS,0,1980,8.01306,111,3.29666519
2000,10,31,36.77,-84.6,1952,7,30,USFS,0,1952,7.899744,112,3.290479813
1981,4,3,36.03,-83.76,1950,7,18,USFS,0,1950,7.89165,113,3.290034611
1991,10,28,37.28,-83.73,1950,7,0,USFS,0,1950,7.89165,114,3.290034611
1988,4,7,30.31,-82.34,1920,7,0,USFS,0,1920,7.77024,115,3.283301229
1995,4,3,37.38,-83.57,1910,7,0,USFS,0,1910,7.72977,116,3.281033367
1971,8,30,34.52,-118.75,1850,7,18,USFS,1,1850,7.48695,117,3.267171728
1977,8,17,46.23,-115.65,1844,7,30,USFS,1,1844,7.462668,118,3.265760917
1977,7,31,34.7,-119.92,1825,7,19,USFS,1,1825,7.385775,119,3.261262869
1981,3,13,33.9,-85.48,1800,7,19,USFS,0,1800,7.2846,120,3.255272505
1974,7,21,36.42,-121.68,1800,7,19,USFS,1,1800,7.2846,121,3.255272505
1985,7,2,36.23,-121.43,1800,7,19,USFS,1,1800,7.2846,122,3.255272505
1991,10,29,35.91,-83.1,1699,7,0,USFS,0,1699,6.875853,123,3.230193379
1995,4,9,37.61,-80.05,1678,7,0,USFS,0,1678,6.790866,124,3.224791956
1993,10,27,34.51,-119.29,1650,7,0,USFS,0,1650,6.67755,125,3.217483944
1985,5,27,31.82,-110.8,1580,7,11,USFS,1,1580,6.39426,126,3.198657087
1975,9,25,34.93,-120.15,1550,7,18,USFS,1,1550,6.27285,127,3.190331698
1979,8,23,34,-116.85,1545,7,19,USFS,1,1545,6.252615,128,3.188928484
1989,7,23,36.99,-119.35,1532,7,0,USFS,0,1532,6.200004,129,3.185258765
1987,11,5,36.64,-84.65,1500,7,0,USFS,0,1500,6.0705,130,3.176091259
1990,8,5,43.65,-121.31,1500,7,0,USFS,0,1500,6.0705,131,3.176091259
1990,8,15,43.68,-115.74,1500,7,0,USFS,0,1500,6.0705,132,3.176091259
1993,8,30,35.46,-118.76,1485,7,0,USFS,0,1485,6.009795,133,3.171726454
1987,8,30,37.61,-118.9,1465,7,0,USFS,0,1465,5.928855,134,3.165837625
2000,4,5,36.81,-92.06,1460,7,19,USFS,0,1460,5.90862,135,3.164352856
1994,6,27,42.63,-121.59,1457,7,22,USFS,0,1457,5.896479,136,3.163459552
1992,9,19,41.23,-123.76,1453,7,0,USFS,0,1453,5.880291,137,3.162265614
1999,11,15,35.39,-83.92,1450,7,11,USFS,0,1450,5.86815,138,3.161368002
1981,8,3,35.61,-118.6,1450,7,18,USFS,1,1450,5.86815,139,3.161368002
1981,8,7,45.45,-113.96,1429,7,19,USFS,1,1429,5.783163,140,3.155032229
1996,8,24,34.18,-117.88,1428,7,30,USFS,0,1428,5.779116,141,3.154728207
1985,7,15,37.06,-119.34,1412,7,19,USFS,1,1412,5.714364,142,3.149834697
1970,9,26,34.2,-117.36,1400,7,19,USFS,1,1400,5.6658,143,3.146128036
1988,4,29,36.09,-82.69,1394,7,0,USFS,0,1394,5.641518,144,3.144262774
1995,10,5,34.45,-118.34,1370,7,0,USFS,0,1370,5.54439,145,3.136720567
1985,3,30,33.9,-85.5,1360,7,18,USFS,0,1360,5.50392,146,3.133538908
1990,2,12,33.4,-97.63,1356,7,0,USFS,0,1356,5.487732,147,3.13225969
1995,4,8,37.5,-80.25,1354,7,0,USFS,0,1354,5.479638,148,3.131618664
1991,3,30,36.91,-91.26,1351,7,0,USFS,0,1351,5.467497,149,3.130655349
1997,3,23,30.5,-89.05,1350,7,30,USFS,0,1350,5.46345,150,3.130333768
1976,6,23,34.45,-118.67,1350,7,19,USFS,1,1350,5.46345,151,3.130333768
1996,6,29,33.44,-117.08,1336,7,30,USFS,0,1336,5.406792,152,3.125806458
1991,10,30,37.25,-83.72,1300,7,0,USFS,0,1300,5.2611,153,3.113943352
1994,11,20,35.96,-82.89,1285,7,0,USFS,0,1285,5.200395,154,3.108903128
1979,5,31,33.95,-116.83,1279,7,19,USFS,1,1279,5.176113,155,3.106870544
1999,11,15,35.35,-83.96,1261,7,11,USFS,0,1261,5.103267,156,3.100715087
1996,5,4,47.2,-94.13,1242,7,19,USFS,0,1242,5.026374,157,3.094121596
1987,3,13,36.81,-92.09,1226,7,0,USFS,0,1226,4.961622,158,3.08849047
1995,2,25,36.91,-91.23,1200,7,0,USFS,0,1200,4.8564,159,3.079181246
1981,3,18,30.63,-89.1,1200,7,19,USFS,0,1200,4.8564,160,3.079181246
1990,3,19,31.36,-92.93,1200,7,0,USFS,0,1200,4.8564,161,3.079181246
1998,8,1,34.32,-94.55,1200,7,19,USFS,0,1200,4.8564,162,3.079181246
1985,8,19,40.54,-111.06,1200,7,19,USFS,1,1200,4.8564,163,3.079181246
2000,10,31,37.03,-83.45,1175,7,19,USFS,0,1175,4.755225,164,3.070037867
1981,7,15,34.67,-118.42,1170,7,19,USFS,1,1170,4.73499,165,3.068185862
1988,3,26,36.93,-91.46,1157,7,0,USFS,0,1157,4.682379,166,3.063333359
1991,11,1,36.96,-83.59,1150,7,0,USFS,0,1150,4.65405,167,3.06069784
1971,9,15,39.2,-122.91,1150,7,19,USFS,1,1150,4.65405,168,3.06069784
1998,9,2,43.72,-121.36,1138,7,30,USFS,0,1138,4.605486,169,3.056142262
1996,4,11,34.75,-89.33,1130,7,18,USFS,0,1130,4.57311,170,3.053078443
1989,4,16,36.9,-91.48,1100,7,0,USFS,0,1100,4.4517,171,3.041392685
1987,11,6,36.41,-82.15,1100,7,0,USFS,0,1100,4.4517,172,3.041392685
1988,8,17,33.9,-116.85,1100,7,0,USFS,0,1100,4.4517,173,3.041392685
1988,8,4,42.14,-112.14,1100,7,0,USFS,0,1100,4.4517,174,3.041392685
1999,11,15,35.34,-83.94,1090,7,15,USFS,0,1090,4.41123,175,3.037426498
1996,6,2,33.46,-116.97,1082,7,19,USFS,0,1082,4.378854,176,3.034227261
1998,7,30,31.85,-92.75,1075,7,30,USFS,0,1075,4.350525,177,3.031408464
1988,3,26,36.86,-91.33,1069,7,0,USFS,0,1069,4.326243,178,3.028977705
1996,7,1,33.59,-116.8,1057,7,19,USFS,0,1057,4.277679,179,3.024074987
1978,10,30,33.25,-86,1050,7,19,USFS,0,1050,4.24935,180,3.021189299
1975,7,6,36.89,-119.22,1050,7,19,USFS,1,1050,4.24935,181,3.021189299
2000,7,30,40.44,-111.65,1028,7,19,USFS,0,1028,4.160316,182,3.011993115
1978,6,17,33.9,-116.73,1020,7,19,USFS,1,1020,4.12794,183,3.008600172
1999,11,16,34.8,-84.36,1010,7,30,USFS,0,1010,4.08747,184,3.004321374
1988,7,26,46.96,-114.41,1009,7,0,USFS,0,1009,4.083423,185,3.003891166
1982,8,2,35.48,-118.72,1004,7,19,USFS,1,1004,4.063188,186,3.001733713
1982,8,18,36.01,-118.81,1000,7,19,USFS,1,1000,4.047,187,3
1996,10,10,36.01,-118.77,1000,7,30,USFS,0,1000,4.047,188,3
2000,10,7,40.33,-123.38,990,7,30,USFS,0,990,4.00653,189,2.995635195
1979,6,29,39.78,-120.19,980,7,19,USFS,1,980,3.96606,190,2.991226076
1980,8,15,40.78,-123.12,980,7,19,USFS,1,980,3.96606,191,2.991226076
1992,6,3,41.82,-122.65,973,7,0,USFS,0,973,3.937731,192,2.98811284
1981,3,19,30.55,-88.96,963,7,19,USFS,0,963,3.897261,193,2.983626287
1999,11,15,36.78,-84.33,958,7,18,USFS,0,958,3.877026,194,2.981365509
1988,6,3,31.83,-110.39,958,7,0,USFS,0,958,3.877026,195,2.981365509
1987,12,5,31.39,-93.04,955,7,0,USFS,0,955,3.864885,196,2.980003372
1999,11,15,35.37,-83.94,930,7,11,USFS,0,930,3.76371,197,2.968482949
1996,1,14,32.93,-92.75,929,7,30,USFS,0,929,3.759663,198,2.968015714
1991,10,28,37.35,-83.56,920,7,0,USFS,0,920,3.72324,199,2.963787827
1986,3,29,35,-83.67,910,7,0,USFS,0,910,3.68277,200,2.959041392
1989,4,21,39.07,-104.93,910,7,0,USFS,0,910,3.68277,201,2.959041392
1996,3,23,31.97,-92.95,906,7,30,USFS,0,906,3.666582,202,2.957128198
1999,3,30,32.95,-79.81,904,7,30,USFS,0,904,3.658488,203,2.95616843
1996,2,10,33.4,-97.65,900,7,19,USFS,0,900,3.6423,204,2.954242509
1983,7,13,33.87,-117.65,900,7,19,USFS,1,900,3.6423,205,2.954242509
1996,6,1,34.34,-117.23,900,7,19,USFS,0,900,3.6423,206,2.954242509
1981,7,23,44.98,-113.9,900,7,19,USFS,1,900,3.6423,207,2.954242509
1993,3,14,34.56,-89.48,891,7,0,USFS,0,891,3.605877,208,2.949877704
1994,11,20,35.83,-83.16,875,7,0,USFS,0,875,3.541125,209,2.942008053
2000,7,22,44.05,-115.91,873,7,18,USFS,0,873,3.533031,210,2.941014244
1976,4,4,33.03,-79.7,860,7,30,USFS,0,860,3.48042,211,2.934498451
1996,9,7,34.55,-118.48,855,7,18,USFS,0,855,3.460185,212,2.931966115
1987,11,7,35.83,-83.19,850,7,0,USFS,0,850,3.43995,213,2.929418926
1980,8,14,40.01,-121.03,850,7,19,USFS,1,850,3.43995,214,2.929418926
1981,7,20,39.88,-120.71,848,7,19,USFS,1,848,3.431856,215,2.928395852
1973,8,13,48.98,-115.69,840,7,18,USFS,1,840,3.39948,216,2.924279286
1988,5,21,43.64,-121.15,830,7,0,USFS,0,830,3.35901,217,2.919078092
1987,11,15,37.25,-83.46,800,7,0,USFS,0,800,3.2376,218,2.903089987
1996,2,10,36.82,-92.08,800,7,18,USFS,0,800,3.2376,219,2.903089987
1979,5,4,34.81,-77.05,800,7,30,USFS,0,800,3.2376,220,2.903089987
1988,2,24,31.57,-90.74,800,7,0,USFS,0,800,3.2376,221,2.903089987
1998,12,6,31.74,-92.91,800,7,18,USFS,0,800,3.2376,222,2.903089987
1982,9,2,34.14,-117.22,800,7,19,USFS,1,800,3.2376,223,2.903089987
1993,6,29,36.01,-118.83,800,7,0,USFS,0,800,3.2376,224,2.903089987
1987,11,7,32.75,-87.1,799,7,0,USFS,0,799,3.233553,225,2.902546779
1970,4,13,35.93,-94.44,794,7,30,USFS,1,794,3.213318,226,2.899820502
1988,2,26,31.5,-89.01,790,7,0,USFS,0,790,3.19713,227,2.897627091
1989,8,27,39.25,-122.52,788,7,0,USFS,0,788,3.189036,228,2.896526217
1997,4,19,36.85,-91.4,780,7,18,USFS,0,780,3.15666,229,2.892094603
1995,5,13,44.28,-84.29,778,7,19,USFS,0,778,3.148566,230,2.890979597
1999,11,10,37.15,-83.68,776,7,18,USFS,0,776,3.140472,231,2.889861721
1991,10,27,36.28,-82.14,770,7,0,USFS,0,770,3.11619,232,2.886490725
1980,10,19,34.53,-118.44,770,7,19,USFS,1,770,3.11619,233,2.886490725
1985,3,13,33.06,-79.7,761,7,30,USFS,0,761,3.079767,234,2.881384657
1979,12,12,34.37,-118.46,758,7,19,USFS,1,758,3.067626,235,2.879669206
2000,3,8,37.76,-91.88,755,7,30,USFS,0,755,3.055485,236,2.877946952
1999,11,12,37,-83.71,753,7,18,USFS,0,753,3.047391,237,2.876794976
1981,7,20,34.14,-117.83,752,7,19,USFS,1,752,3.043344,238,2.876217841
1979,6,26,33.71,-116.87,750,7,19,USFS,1,750,3.03525,239,2.875061263
1973,8,17,38.73,-120.47,742,7,19,USFS,1,742,3.002874,240,2.870403905
1981,8,23,34.52,-118.53,735,7,19,USFS,1,735,2.974545,241,2.866287339
1997,9,24,35.53,-118.62,734,7,30,USFS,0,734,2.970498,242,2.86569606
1999,11,14,37.46,-91.06,730,7,30,USFS,0,730,2.95431,243,2.86332286
1971,9,19,33.9,-116.85,730,7,19,USFS,1,730,2.95431,244,2.86332286
1976,1,27,34.53,-118.44,725,7,19,USFS,1,725,2.934075,245,2.860338007
1976,6,21,35.48,-118.65,720,7,19,USFS,1,720,2.91384,246,2.857332496
1999,4,10,37.75,-83.75,715,7,19,USFS,0,715,2.893605,247,2.854306042
1999,11,18,37.8,-83.65,715,7,18,USFS,0,715,2.893605,248,2.854306042
1986,6,25,43.19,-121.78,711,7,0,USFS,0,711,2.877417,249,2.851869601
1986,8,1,34.49,-118.55,710,7,0,USFS,0,710,2.87337,250,2.851258349
1988,6,12,34.72,-118.84,710,7,0,USFS,0,710,2.87337,251,2.851258349
1988,3,20,37.05,-83.35,700,7,0,USFS,0,700,2.8329,252,2.84509804
1988,2,25,30.96,-88.8,700,7,0,USFS,0,700,2.8329,253,2.84509804
1996,3,6,33.4,-97.78,700,7,19,USFS,0,700,2.8329,254,2.84509804
1996,9,26,41.84,-123.92,700,7,30,USFS,0,700,2.8329,255,2.84509804
1993,6,13,33.45,-111.46,700,7,0,USFS,0,700,2.8329,256,2.84509804
1981,8,7,39.7,-111.67,700,7,23,USFS,1,700,2.8329,257,2.84509804
1987,7,13,44.71,-116.47,700,7,0,USFS,0,700,2.8329,258,2.84509804
1981,3,29,37.33,-84.2,697,7,19,USFS,0,697,2.820759,259,2.843232778
1987,11,8,32.76,-86.86,696,7,0,USFS,0,696,2.816712,260,2.84260924
1999,11,16,34.7,-84.36,680,7,19,USFS,0,680,2.75196,261,2.832508913
1985,4,18,33.4,-86.91,680,7,19,USFS,0,680,2.75196,262,2.832508913
1980,3,6,35.66,-94.46,677,7,21,USFS,1,677,2.739819,263,2.830588669
1990,4,10,47.29,-94.23,674,7,0,USFS,0,674,2.727678,264,2.828659897
1989,11,20,37.53,-79.99,670,7,0,USFS,0,670,2.71149,265,2.826074803
1979,4,7,34.81,-77.01,670,7,30,USFS,0,670,2.71149,266,2.826074803
1984,7,7,34.81,-118.92,670,7,19,USFS,1,670,2.71149,267,2.826074803
1984,8,4,43.31,-103.49,670,7,19,USFS,1,670,2.71149,268,2.826074803
1990,10,1,31.71,-90.76,664,7,0,USFS,0,664,2.687208,269,2.822168079
1990,7,14,34.53,-118.43,660,7,0,USFS,0,660,2.67102,270,2.819543936
2000,8,13,37.05,-119.46,659,7,19,USFS,0,659,2.666973,271,2.818885415
1994,8,21,33.9,-116.73,657,7,0,USFS,0,657,2.658879,272,2.81756537
1981,4,4,37.68,-79.7,650,7,30,USFS,0,650,2.63055,273,2.812913357
1988,3,1,32.45,-89.55,650,7,0,USFS,0,650,2.63055,274,2.812913357
1996,7,6,36.03,-118.77,650,7,30,USFS,0,650,2.63055,275,2.812913357
1997,8,28,40.05,-111.82,650,7,19,USFS,0,650,2.63055,276,2.812913357
1980,11,14,37.28,-83.55,642,7,19,USFS,0,642,2.598174,277,2.807535028
1976,3,2,35.91,-83.11,640,7,18,USFS,0,640,2.59008,278,2.806179974
1986,3,8,35.88,-92.93,640,7,0,USFS,0,640,2.59008,279,2.806179974
1999,12,3,35.26,-84.46,640,7,18,USFS,0,640,2.59008,280,2.806179974
1995,11,11,33.73,-94.61,640,7,0,USFS,0,640,2.59008,281,2.806179974
1973,9,9,39.78,-123.11,638,7,19,USFS,1,638,2.581986,282,2.804820679
1986,3,2,31.06,-92.67,637,7,0,USFS,0,637,2.577939,283,2.804139432
1980,11,8,37.26,-83.58,629,7,19,USFS,0,629,2.545563,284,2.798650645
1992,4,1,30.58,-88.96,629,7,0,USFS,0,629,2.545563,285,2.798650645
1983,7,12,33.88,-117.63,625,7,19,USFS,1,625,2.529375,286,2.795880017
1987,6,10,35.47,-118.75,625,7,0,USFS,0,625,2.529375,287,2.795880017
1992,2,28,31.02,-92.97,613,7,0,USFS,0,613,2.480811,288,2.787460475
2000,7,2,41.87,-116,609,7,18,USFS,0,609,2.464623,289,2.784617293
1999,11,20,35.46,-83.98,607,7,19,USFS,0,607,2.456529,290,2.783188691
1995,2,25,34.77,-94.95,604,7,0,USFS,0,604,2.444388,291,2.781036939
1973,8,4,48.84,-115.14,602,7,19,USFS,1,602,2.436294,292,2.779596491
1980,11,12,36.61,-84.15,600,7,19,USFS,0,600,2.4282,293,2.77815125
1988,2,28,32.09,-89.61,600,7,0,USFS,0,600,2.4282,294,2.77815125
1983,6,28,32.26,-110.7,600,7,19,USFS,1,600,2.4282,295,2.77815125
1978,8,22,40.8,-111.86,600,7,18,USFS,1,600,2.4282,296,2.77815125
1971,5,3,29.15,-81.53,599,7,30,USFS,0,599,2.424153,297,2.777426822
1997,3,9,33.17,-79.85,599,7,30,USFS,0,599,2.424153,298,2.777426822
1986,3,19,30.37,-93.5,593,7,0,USFS,0,593,2.399871,299,2.773054693
1996,8,25,35.55,-118.6,593,7,18,USFS,0,593,2.399871,300,2.773054693
1986,3,10,34.75,-89.4,590,7,0,USFS,0,590,2.38773,301,2.770852012
1999,11,14,37.05,-83.63,588,7,18,USFS,0,588,2.379636,302,2.769377326
1981,3,1,30.66,-89.21,585,7,19,USFS,0,585,2.367495,303,2.767155866
1996,12,9,34.05,-89.81,583,7,18,USFS,0,583,2.359401,304,2.765668555
1994,1,4,31.33,-93.76,580,7,0,USFS,0,580,2.34726,305,2.763427994
1985,7,2,37.19,-119.46,580,7,19,USFS,1,580,2.34726,306,2.763427994
1974,3,4,35.57,-93.48,567,7,19,USFS,9,567,2.294649,307,2.753583059
1987,11,7,32.79,-87,567,7,0,USFS,0,567,2.294649,308,2.753583059
1986,3,30,36.76,-91.06,565,7,0,USFS,0,565,2.286555,309,2.752048448
1978,11,4,37.65,-80.05,564,7,19,USFS,0,564,2.282508,310,2.751279104
1971,4,13,36.1,-82.63,562,7,30,USFS,0,562,2.274414,311,2.749736316
1994,3,22,37.01,-91.38,560,7,0,USFS,0,560,2.26632,312,2.748188027
1995,4,6,37.07,-83.4,560,7,0,USFS,0,560,2.26632,313,2.748188027
1992,9,1,34.37,-117.18,560,7,0,USFS,0,560,2.26632,314,2.748188027
1987,11,5,34.93,-94.38,558,7,0,USFS,0,558,2.258226,315,2.746634199
